,District_Key,Assessment,Subject,Grade,Year_End,Population,Total_Tested,Total_Proficient,Percent_Proficient
0,STATEWIDE,MEAP,Math,8,2010,All Students,116008,233176080,30.2
1,STATEWIDE,MEAP,Math,8,2010,Male,58792,118171920,31.9
2,STATEWIDE,MEAP,Math,8,2010,Female,57216,115004160,28.5
3,STATEWIDE,MEAP,Math,8,2010,American Indian or Alaska Native,1075,2160750,18.2
4,STATEWIDE,MEAP,Math,8,2010,Asian,2979,5987790,62.9
5,STATEWIDE,MEAP,Math,8,2010,Black or African American,21494,43202940,9.0
6,STATEWIDE,MEAP,Math,8,2010,Hispanic of any race,5061,10172610,16.3
7,STATEWIDE,MEAP,Math,8,2010,Two or more races,1367,2747670,23.0
8,STATEWIDE,MEAP,Math,8,2010,White,83977,168793770,35.6
9,STATEWIDE,MEAP,Math,8,2010,Students with Disabilities,12634,25394340,6.4
10,STATEWIDE,MEAP,Math,8,2010,All Except Students with Disabilities,103374,207781740,33.1
11,STATEWIDE,MEAP,Math,8,2010,Limited English Proficient,3924,7887240,14.1
12,STATEWIDE,MEAP,Math,8,2010,Economically Disadvantaged,52281,105084810,15.7
13,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,1072,2154720,33.2
14,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,543,1091430,33.7
15,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,529,1063290,32.7
16,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Black or African American,21,42210,14.3
17,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Hispanic of any race,64,128640,21.9
18,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,971,1951710,34.0
19,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Students with Disabilities,100,201000,5.0
20,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,972,1953720,36.1
21,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Limited English Proficient,18,36180,0.0
22,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,552,1109520,24.1
23,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,198,397980,42.9
24,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,97,194970,44.3
25,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,101,203010,41.6
26,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,190,381900,43.2
27,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Students with Disabilities,12,24120,16.7
28,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,186,373860,44.6
29,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,52,104520,30.8
30,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,166,333660,31.9
31,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,85,170850,35.3
32,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,81,162810,28.4
33,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,157,315570,31.8
34,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Students with Disabilities,13,26130,15.4
35,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,153,307530,33.3
36,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,66,132660,15.2
37,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,192,385920,28.1
38,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,97,194970,30.9
39,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,95,190950,25.3
40,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,174,349740,28.7
41,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Students with Disabilities,27,54270,0.0
42,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,165,331650,32.7
43,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,186,373860,29.0
44,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,221,444210,40.3
45,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,104,209040,37.5
46,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,117,235170,42.7
47,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,208,418080,40.4
48,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Students with Disabilities,22,44220,4.5
49,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,199,399990,44.2
50,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,93,186930,29.0
51,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,107,215070,16.8
52,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,58,116580,17.2
53,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,49,98490,16.3
54,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Hispanic of any race,41,82410,19.5
55,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,63,126630,14.3
56,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Students with Disabilities,11,22110,0.0
57,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,96,192960,18.8
58,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Limited English Proficient,18,36180,0.0
59,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,64,128640,18.8
60,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,45,90450,15.6
61,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,22,44220,18.2
62,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,23,46230,13.0
63,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,42,84420,14.3
64,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,39,78390,17.9
65,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,25,50250,8.0
66,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,124,249240,39.5
67,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,62,124620,41.9
68,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Female,62,124620,37.1
69,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,120,241200,40.0
70,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,118,237180,41.5
71,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,49,98490,22.4
72,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Students,16,32160,6.3
73,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Male,16,32160,6.3
74,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,White,14,28140,7.1
75,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,All Except Students with Disabilities,16,32160,6.3
76,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,MEAP,Math,8,2010,Economically Disadvantaged,14,28140,7.1
77,ALPENA-MONTMORENCY-ALCONA ESD,MEAP,Math,8,2010,All Students,456,916560,23.0
