District_Key,Avg_Tot_Cur_Exp,Avg_Tot_Exp,Year_End,Unnamed: 0,Agency_Name,City,Zip,Latitude,Longitude,County
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,0,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,ALLEGAN,49010,42.517,-85.861,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,1,ALLEGAN PUBLIC SCHOOLS,ALLEGAN,49010,42.523,-85.844,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,2,FENNVILLE PUBLIC SCHOOLS,FENNVILLE,49408,42.6,-86.105,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,3,GLENN PUBLIC SCHOOL DISTRICT,GLENN,49416,42.518,-85.861,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,4,HOPKINS PUBLIC SCHOOLS,HOPKINS,49328,42.621,-85.761,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,5,MARTIN PUBLIC SCHOOLS,MARTIN,49070,42.538,-85.639,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,6,OTSEGO PUBLIC SCHOOLS,OTSEGO,49078,42.461,-85.708,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,7,OUTLOOK ACADEMY,ALLEGAN,49010,42.504,-85.794,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,8,PLAINWELL COMMUNITY SCHOOLS,PLAINWELL,49080,42.437,-85.65,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,9,WAYLAND UNION SCHOOLS,WAYLAND,49348,42.674,-85.63,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,10,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,ALLEGAN,49010,42.518,-85.86,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,11,ALLEGAN PUBLIC SCHOOLS,ALLEGAN,49010,42.523,-85.843,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,12,FENNVILLE PUBLIC SCHOOLS,FENNVILLE,49408,42.6,-86.106,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,14,HOPKINS PUBLIC SCHOOLS,HOPKINS,49328,42.634,-85.756,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,15,MARTIN PUBLIC SCHOOLS,MARTIN,49070,42.539,-85.639,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,16,OTSEGO PUBLIC SCHOOLS,OTSEGO,49078,42.458,-85.708,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,17,OUTLOOK ACADEMY,ALLEGAN,49010,42.504,-85.796,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,18,PLAINWELL COMMUNITY SCHOOLS,PLAINWELL,49080,42.438,-85.652,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,19,WAYLAND UNION SCHOOLS,WAYLAND,49348,42.669,-85.632,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,23,GLENN PUBLIC SCHOOL DISTRICT,GLENN,49416,42.52,-86.228,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,28,PLAINWELL COMMUNITY SCHOOLS,PLAINWELL,49080,42.435,-85.653,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,29,WAYLAND UNION SCHOOLS,WAYLAND,49348,42.674,-85.629,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,34,HOPKINS PUBLIC SCHOOLS,HOPKINS,49328,42.622,-85.757,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,37,OUTLOOK ACADEMY,ALLEGAN,49010,42.535,-85.827,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,38,PLAINWELL COMMUNITY SCHOOLS,PLAINWELL,49080,42.436,-85.653,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,45,INNOCADEMY ALLEGAN CAMPUS,Fennville,49408,42.61,-86.094,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,48,OUTLOOK ACADEMY,Allegan,49010,42.535,-85.827,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,56,INNOCADEMY ALLEGAN CAMPUS,FENNVILLE,49408,42.61,-86.094,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,57,MARTIN PUBLIC SCHOOLS,MARTIN,49070,42.536,-85.638,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,64,FENNVILLE PUBLIC SCHOOLS,FENNVILLE,49408,42.6,-86.108,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,69,OTSEGO PUBLIC SCHOOLS,OTSEGO,49078,42.457,-85.709,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9545.888889,11188.88889,2011,71,PLAINWELL COMMUNITY SCHOOLS,PLAINWELL,49080,42.438,-85.651,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9528.444444,10663.55556,2012,0,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,ALLEGAN,49010,42.517,-85.861,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9528.444444,10663.55556,2012,1,ALLEGAN PUBLIC SCHOOLS,ALLEGAN,49010,42.523,-85.844,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9528.444444,10663.55556,2012,2,FENNVILLE PUBLIC SCHOOLS,FENNVILLE,49408,42.6,-86.105,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9528.444444,10663.55556,2012,3,GLENN PUBLIC SCHOOL DISTRICT,GLENN,49416,42.518,-85.861,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9528.444444,10663.55556,2012,4,HOPKINS PUBLIC SCHOOLS,HOPKINS,49328,42.621,-85.761,ALLEGAN COUNTY
Allegan Area Educational Service Agency,9528.444444,10663.55556,2012,5,MARTIN PUBLIC SCHOOLS,MARTIN,49070,42.538,-85.639,ALLEGAN COUNTY
